"FileName Type True-Ref Predicted-Ref Difference(Pred-True)"
MD-bcc_Te300K:config_24.json Training -2074056.2216271649 -2070840.6136423103 3215.607984854607
MD-bcc_Te300K:config_24.json Training -2074464.264026248 -2070498.018805506 3966.2452207419556
MD-bcc_Te300K:config_24.json Training -2077549.3704340893 -2071886.6349596493 5662.735474440036
MD-bcc_Te300K:config_24.json Training -2881.8432622168802 -1213.104664656869 1668.7385975600112
MD-bcc_Te300K:config_24.json Training 111.6671438092551 -1742.453296871953 -1854.120440681208
MD-bcc_Te300K:config_24.json Training -3177.197630828095 -2922.3284438653227 254.86918696277235
MD-bcc_Te300K:config_1.json Training -2145369.7783259894 -2131753.130589447 13616.647736542393
MD-bcc_Te300K:config_1.json Training -2142947.6095069745 -2129856.4631803073 13091.146326667164
MD-bcc_Te300K:config_1.json Training -2139170.727456212 -2128798.319107592 10372.408348619938
MD-bcc_Te300K:config_1.json Training 579.4984903628308 31.586927227144088 -547.9115631356867
MD-bcc_Te300K:config_1.json Training 978.1831373697909 1357.228082592281 379.0449452224901
MD-bcc_Te300K:config_1.json Training 520.2275422419507 378.1676931147127 -142.059849127238
MD-bcc_Te300K:config_5.json Training -2143860.6295144423 -2128032.809069204 15827.820445238147
MD-bcc_Te300K:config_5.json Training -2144807.6098588128 -2129270.596951002 15537.012907810975
MD-bcc_Te300K:config_5.json Training -2143149.5443486134 -2128300.058972581 14849.485376032535
MD-bcc_Te300K:config_5.json Training 96.53618365933693 119.79777634032297 23.26159268098604
MD-bcc_Te300K:config_5.json Training 1807.8677059611928 802.4277744140786 -1005.4399315471142
MD-bcc_Te300K:config_5.json Training 1487.563675941543 433.5767269186313 -1053.9869490229116
MD-bcc_Te300K:config_25.json Training -2082398.079651282 -2076100.5716153202 6297.508035961771
MD-bcc_Te300K:config_25.json Training -2073724.8380689898 -2070600.9051170272 3123.9329519625753
MD-bcc_Te300K:config_25.json Training -2074538.4500428718 -2072485.5944569241 2052.855585947633
MD-bcc_Te300K:config_25.json Training -975.1665243755256 -1899.2425220796033 -924.0759977040777
MD-bcc_Te300K:config_25.json Training -4288.467445207782 -2400.8026448181536 1887.664800389628
MD-bcc_Te300K:config_25.json Training -3292.4883596796576 -4392.0567635760035 -1099.568403896346
MD-bcc_Te300K:config_6.json Training -2143331.8635869035 -2129282.1615454433 14049.702041460201
MD-bcc_Te300K:config_6.json Training -2141667.6116366624 -2126756.019627872 14911.592008790467
MD-bcc_Te300K:config_6.json Training -2141462.930704959 -2128575.076455891 12887.85424906807
MD-bcc_Te300K:config_6.json Training 465.2802651202863 375.2860823137755 -89.99418280651076
MD-bcc_Te300K:config_6.json Training 2059.9935661929494 1988.710213963267 -71.28335222968235
MD-bcc_Te300K:config_6.json Training -1239.5699825853271 -539.0828369841312 700.487145601196
MD-bcc_Te300K:config_30.json Training -2080892.2116975586 -2075423.9336670013 5468.278030557325
MD-bcc_Te300K:config_30.json Training -2079084.939170794 -2075734.092804724 3350.846366070211
MD-bcc_Te300K:config_30.json Training -2077963.4462517959 -2071709.5391266267 6253.9071251691785
MD-bcc_Te300K:config_30.json Training -2606.110264890808 -1252.3923513783477 1353.7179135124604
MD-bcc_Te300K:config_30.json Training -509.77515176856866 -1647.711583272628 -1137.9364315040593
MD-bcc_Te300K:config_30.json Training -855.0316105746235 -553.1550140618006 301.87659651282297
MD-bcc_Te300K:config_15.json Training -2122865.139728841 -2106869.160030055 15995.979698786046
MD-bcc_Te300K:config_15.json Training -2123845.17210637 -2108050.754979985 15794.41712638503
MD-bcc_Te300K:config_15.json Training -2122223.299864297 -2107121.1830601054 15102.116804191377
MD-bcc_Te300K:config_15.json Training 40.022616200537584 107.24330865249522 67.22069245195763
MD-bcc_Te300K:config_15.json Training 1822.529392900083 788.0128866798323 -1034.5165062202507
MD-bcc_Te300K:config_15.json Training 1467.0221947246066 443.5710839382259 -1023.4511107863807
MD-bcc_Te300K:config_13.json Training -2123125.793775192 -2107081.1619851612 16044.631790030748
MD-bcc_Te300K:config_13.json Training -2122728.3142689066 -2105119.3806536575 17608.933615249116
MD-bcc_Te300K:config_13.json Training -2120643.7236439586 -2106461.9849941963 14181.738649762236
MD-bcc_Te300K:config_13.json Training 862.5504414132743 22.701520364192675 -839.8489210490816
MD-bcc_Te300K:config_13.json Training 34.90743225692222 456.8818842845564 421.9744520276342
MD-bcc_Te300K:config_13.json Training 770.1826679406365 150.19146544626193 -619.9912024943746
MD-bcc_Te300K:config_28.json Training -2076507.0111388345 -2068534.7911919549 7972.219946879661
MD-bcc_Te300K:config_28.json Training -2076340.165023944 -2071317.1490611462 5023.015962797916
MD-bcc_Te300K:config_28.json Training -2078435.0534495413 -2075761.6791553774 2673.374294163892
MD-bcc_Te300K:config_28.json Training 876.9125304747512 760.7157440943748 -116.19678638037635
